region,2015_Sales,2016_Sales,2017_Sales,2018_Sales,2015_Pop,2016_Pop,2017_Pop,2018_Pop,Sales_Per_Capita_2015,Sales_Per_Capita_2016,Sales_Per_Capita_2017,Sales_Per_Capita_2018
NewOrleansMobile,12524169.02,14396099.599999996,17622451.279999994,4133341.93,1263.53,1271.2,1275.76,1285.08,9.912047216924014,11.324810887350532,13.81329660751238,3.2164082625206216
Northeast,248176557.25999996,284714498.53000003,340067288.7200002,87049260.61,51861.87,51979.75,52122.19,52502.68,4.785337614320501,5.477411848460219,6.524424409642039,1.6579965177015725
NorthernNewEngland,22518384.94,26722006.17000001,31920744.98,8463871.08,14726.16,14757.57,14810.0,14918.11,1.529141673049865,1.8107321306963144,2.1553507751519243,0.5673554545448452
Orlando,16346075.669999992,20466262.9,25797136.47000001,7001466.8,2391.03,2453.33,2509.83,2528.15,6.836415967177322,8.342238060106059,10.278439762852468,2.7694032395229713
Philadelphia,26813089.570000004,29926850.11000001,34576925.02000001,8498686.12,6066.59,6077.15,6096.12,6140.62,4.41979589357448,4.924487647992893,5.6719560999455405,1.3840110803143655
PhoenixTucson,37331142.21000001,41701210.57000003,47189665.06,12229242.61,4558.15,4648.5,4737.27,4771.85,8.18997668132905,8.97089611057331,9.961362780673257,2.5627885641837023
Pittsburgh,5597285.619999998,6807405.890000006,8593924.299999999,2195956.7099999995,2349.14,2341.54,2333.37,2350.4,2.3826956332955884,2.9072345080588016,3.683052537745835,0.9342906356364872
Plains,95127773.64,105191732.01000004,128523375.43999995,31193253.32,2807.32,2806.78,2807.34,2827.83,33.885618183890685,37.477726081132126,45.78119338590977,11.030809249495196
Portland,29826515.04000001,33883403.86999998,39812118.94000002,9342314.170000004,2382.18,2423.1,2453.17,2471.08,12.520680653854876,13.983493817836647,16.228846325366778,3.780660346892858
RaleighGreensboro,14774085.789999995,17483100.990000013,21863509.98999999,5716827.3599999985,1272.88,1304.9,1335.08,1344.83,11.606817445477967,13.398038922522808,16.376179697096795,4.250966560829249
RichmondNorfolk,12294393.319999997,13781570.03000001,16954224.889999993,4314418.15,1270.03,1282.21,1294.2,1303.65,9.680395990645888,10.748293984604715,13.100158314016376,3.309491159436966
Roanoke,7284453.540000003,7953893.5,9652986.05,2517732.170000001,313.28,313.1,314.13,316.42,23.252213802349345,25.403684126477163,30.729271479960527,7.956931199039254
Sacramento,25849318.49,28358856.46000001,32733370.34,7866893.860000001,2266.89,2295.23,2324.88,2341.86,11.40298756887189,12.355561952396931,14.079595652248718,3.359250279692211
SanDiego,26199398.150000013,27847305.670000017,32011037.63,7469121.12,3290.04,3317.2,3337.69,3362.05,7.963246085153984,8.39482264259014,9.590776144579035,2.2215972754718103
SanFrancisco,50598290.03999999,57674639.40000001,62400607.83999999,15160251.27,4657.99,4699.08,4727.36,4761.87,10.862687562661145,12.273602364718203,13.199884891355849,3.1836760075348547
Seattle,33574622.22,37881811.01000003,43265296.34,10457153.629999997,3728.61,3802.66,3867.05,3895.28,9.00459480074344,9.961924287209486,11.188191603418627,2.684570462200406
SouthCarolina,17427295.12000001,19919043.16,25512761.12999999,6668750.289999999,4892.42,4959.82,5024.37,5061.05,3.5621011932744957,4.016081865874165,5.07780301410923,1.317661412157556
SouthCentral,237124107.61000004,258417878.45,304999759.1300002,73517353.72,15028.74,15322.63,15567.85,15681.5,15.77804311006778,16.865112480690325,19.591642977675157,4.688158257819723
Southeast,172291427.62000003,205740416.36,257020841.90000004,68577661.35,23431.57,23829.34,24174.14,24350.61,7.3529613090373385,8.63391165512767,10.632057310001516,2.816260510516985
StLouis,11952648.970000004,10308104.729999997,12188495.04,2989978.6,2807.32,2806.78,2807.34,2827.83,4.2576724313580225,3.6725731015612184,4.34165261065635,1.0573402927332973
Syracuse,3669851.670000002,4672967.749999997,5552309.28,1309810.52,659.85,656.93,654.84,659.62,5.561645328483749,7.11334198468634,8.478879237676379,1.9857046784512296
Tampa,18211308.21000001,22782668.309999995,28052778.149999995,7912069.550000003,2973.76,3036.53,3091.4,3113.97,6.124000662460995,7.502862909307662,9.074457575855599,2.5408303708770483
West,291641038.32000005,313204839.39999986,370051778.7400001,91935796.36,15692.65,15967.18,16209.21,16327.54,18.58456272968556,19.61553883653844,22.82972327090587,5.630719407822611
WestTexNewMexico,32242410.440000016,36941919.31,42162191.790000014,10218687.9,1049.49,1055.09,1060.4,1068.14,30.72197966631413,35.013050365371676,39.76064861373068,9.566805755799802
