region,2015_Volume,2016_Volume,2017_Volume,2018_Volume,2015_Pop,2016_Pop,2017_Pop,2018_Pop,Vol_Per_Capita_2015,Vol_Per_Capita_2016,Vol_Per_Capita_2017,Vol_Per_Capita_2018
Jacksonville,7176424,9711784,9193233,2708393,1445.99,1476.5,1504.98,1515.97,4.962983146494789,6.577571283440569,6.108541641749392,1.7865742725779534
LasVegas,15542381,16906963,17433784,4493621,2110.3,2156.72,2204.08,2220.17,7.365010188124911,7.839201658073371,7.909778229465355,2.023998612718846
LosAngeles,148220640,163142250,158481118,38052366,13283.82,13328.26,13353.91,13451.39,11.157983170503666,12.24032619411686,11.867768915620967,2.828879840670741
Louisville,4288952,5076273,5260064,1471548,1277.99,1284.85,1293.95,1303.4,3.3560137403266066,3.9508681947309023,4.06512152710692,1.1290072119073193
MiamiFtLauderdale,25166461,31885010,30880179,9741410,6026.04,6107.43,6158.82,6203.78,4.176285089378763,5.220691845833681,5.013976540960768,1.570237822746777
Midsouth,140221868,154260447,165553441,48313370,11182.84,11330.45,11473.89,11557.65,12.539021214646727,13.614679646439463,14.428710838259736,4.1802070490108285
Nashville,8661866,10499124,12938592,3512341,1829.51,1868.86,1903.05,1916.94,4.734527824390137,5.6179296469505475,6.7988712855679045,1.8322644422882302
NewOrleansMobile,12664260,14640315,14326454,4063951,1263.53,1271.2,1275.76,1285.08,10.022919914841752,11.516924952800503,11.22974070358061,3.1624109004886853
Northeast,203378936,218931032,224647251,66323524,51861.87,51979.75,52122.19,52502.68,3.9215503798841036,4.211852346346414,4.310011743558741,1.263240733615884
NorthernNewEngland,20094568,22141758,22660244,6636158,14726.16,14757.57,14810.0,14918.11,1.364549074572054,1.5003661171859595,1.5300637407157327,0.44483905803080953
Orlando,14719523,19214729,18811346,5914925,2391.03,2453.33,2509.83,2528.15,6.156143168425323,7.8321012664419385,7.495067793436209,2.3396258133417716
Philadelphia,20892168,22108044,22271193,6567225,6066.59,6077.15,6096.12,6140.62,3.4438074766878923,3.6378967114519143,3.6533390090746245,1.0694726265425967
PhoenixTucson,57176231,59283639,61170485,18012793,4558.15,4648.5,4737.27,4771.85,12.543736164891458,12.753283639883833,12.912602617119143,3.774802854238922
Pittsburgh,4539947,5516140,6848579,1901507,2349.14,2341.54,2333.37,2350.4,1.9325995896370587,2.3557744048788405,2.9350591633560046,0.8090142103471749
Plains,87638741,95241584,100279833,28028060,2807.32,2806.78,2807.34,2827.83,31.217937748457604,33.932685853540356,35.72058710380645,9.911508117531818
Portland,27943403,37311463,36899402,8397777,2382.18,2423.1,2453.17,2471.08,11.730181178584322,15.398234905699312,15.041518525010497,3.398423766126552
RaleighGreensboro,12817280,14567803,16028592,4788883,1272.88,1304.9,1335.08,1344.83,10.069511658600968,11.163922905969805,12.005716511370105,3.5609578905884014
RichmondNorfolk,11651028,12937976,13646872,3994813,1270.03,1282.21,1294.2,1303.65,9.173821090840374,10.090372091935018,10.544639159326225,3.064329382886511
Roanoke,6778758,7686765,8085554,2490758,313.28,313.1,314.13,316.42,21.6380171092952,24.55051101884382,25.739515487218668,7.871683205865621
Sacramento,21980484,23122978,23192386,6867737,2266.89,2295.23,2324.88,2341.86,9.696316980532801,10.074362046505144,9.97573466157393,2.9325993014099905
SanDiego,26585679,29337995,27194239,6673837,3290.04,3317.2,3337.69,3362.05,8.080655250392093,8.844204449535754,8.147622757056528,1.9850498951532547
SanFrancisco,39445748,41529580,41871455,12983246,4657.99,4699.08,4727.36,4761.87,8.46840547102935,8.837810805519378,8.857259654437149,2.7265015634614134
Seattle,29057048,37188364,35027515,7941084,3728.61,3802.66,3867.05,3895.28,7.792997390448451,9.779565882829388,9.057942100567615,2.0386426649688856
SouthCarolina,16245813,18702807,19968917,5836071,4892.42,4959.82,5024.37,5061.05,3.3206088193572914,3.7708640636152118,3.9744121153497853,1.1531344286264709
SouthCentral,290454538,304098646,325422568,91303697,15028.74,15322.63,15567.85,15681.5,19.326606089399377,19.84637402325841,20.903500997247534,5.822382871536524
Southeast,160095157,198121427,196737199,60284458,23431.57,23829.34,24174.14,24350.61,6.8324554009825205,8.314180208096406,8.138332904500428,2.475685742574827
StLouis,9902524,10644427,8988067,2537648,2807.32,2806.78,2807.34,2827.83,3.5273940982859098,3.792398050435018,3.2016310813795266,0.8973835060806342
Syracuse,2734280,3429317,3731928,1046977,659.85,656.93,654.84,659.62,4.143790255361067,5.220216765865465,5.698992120212571,1.58724265486189
Tampa,17131542,21680700,20550083,6642044,2973.76,3036.53,3091.4,3113.97,5.760902695577316,7.1399590980494185,6.647500485217054,2.1329826555811393
West,304670268,344577282,345054372,92477073,15692.65,15967.18,16209.21,16327.54,19.414838666509482,21.58034681139688,21.287550226075176,5.663870552453095
WestTexNewMexico,41523946,43807375,47389539,11800812,1049.49,1055.09,1060.4,1068.14,39.56583292837473,41.52003620544219,44.69024801961524,11.048001198344787
